X,Y
0.000000,0.000000
0.555556,0.320750
1.111111,0.641500
1.666667,0.962250
2.222222,1.283001
2.777778,1.603751
3.333333,1.924501
3.888889,2.245251
4.444444,2.566001
5.000000,2.886751
5.555556,3.207501
6.111111,3.528252
6.666667,3.849002
7.222222,4.169752
7.777778,4.490502
8.333333,4.811252
8.888889,5.132002
9.444444,5.452753
10.000000,5.773503
10.555556,6.094253
11.111111,6.415003
11.666667,6.735753
12.222222,7.056503
12.777778,7.377253
13.333333,7.698004
13.888889,8.018754
14.444444,8.339504
15.000000,8.660254
15.555556,8.981004
16.111111,9.301754
16.666667,9.622504
17.222222,9.943255
17.777778,10.264005
18.333333,10.584755
18.888889,10.905505
19.444444,11.226255
20.000000,11.547005
20.555556,11.867756
21.111111,12.188506
21.666667,12.509256
22.222222,12.830006
22.777778,13.150756
23.333333,13.471506
23.888889,13.792256
24.444444,14.113007
25.000000,14.433757
25.555556,14.754507
26.111111,15.075257
26.666667,15.396007
27.222222,15.716757
27.777778,16.037507
28.333333,16.358258
28.888889,16.679008
29.444444,16.999758
30.000000,17.320508
30.555556,17.641258
31.111111,17.962008
31.666667,18.282759
32.222222,18.603509
32.777778,18.924259
33.333333,19.245009
33.888889,19.565759
34.444444,19.886509
35.000000,20.207259
35.555556,20.528010
36.111111,20.848760
36.666667,21.169510
37.222222,21.490260
37.777778,21.811010
38.333333,22.131760
38.888889,22.452510
39.444444,22.773261
40.000000,23.094011
40.555556,23.414761
41.111111,23.735511
41.666667,24.056261
42.222222,24.377011
42.777778,24.697762
43.333333,25.018512
43.888889,25.339262
44.444444,25.660012
45.000000,25.980762
45.555556,26.301512
46.111111,26.622262
46.666667,26.943013
47.222222,27.263763
47.777778,27.584513
48.333333,27.905263
48.888889,28.226013
49.444444,28.546763
50.000000,28.867513
